accession,gene_name,abundance_24,abundance_48,abundance_72,abundance_96,abundance_120
Q96T76,MMS19,14395748.96,17852531.92,18665706.26,17184105.39,17024523.13
Q9NSK0,KLC4,1191219.117,1478765.894,1963037.128,2419521.472,1763135.903
Q02952,AKAP12,82135009.71,83840380.92,71748780.98,72169599.26,77473442.72
P30050,RPL12,432436490.3,510258337.9,500478566.7,478567923.4,480435329.6
Q7Z2W4,ZC3HAV1,106896685.2,86415544.17,65614109.34,51290150.8,77554122.39
Q9UBU9,NXF1,16806216.52,17170472.81,17764240.88,17231754.59,17243171.2
Q14192,FHL2,38227004.36,30128417.82,29974644.2,29525006.65,31963768.26
Q9P035,PTPLAD1; HACD3,43201452.45,51444320.19,56388865.36,61674131.79,53177192.45
Q13126,MTAP,27643673.92,33302836.66,35716817.92,27053903.17,30929307.92
O75964,ATP5L,72075185.45,74697770.23,90662460.31,97855454.04,83822717.51
Q01085,TIAL1,48162739.7,47976773.84,45307906.05,34745593.92,44048253.38
Q99567,NUP88,16185397.3,16984974.99,16773825.23,17561452.22,16876412.44
Q8IWZ3,ANKHD1; ANKHD1-EIF4EBP3,10878762.92,15882063.88,13474258.26,11236640.13,12867931.3
Q14554,PDIA5,41009344.12,50362739.03,57245637.65,67278006.75,53973931.89
Q96HP0,DOCK6,2612614.155,2982399.408,4005570.301,4171179.31,3442940.794
Q96C36,PYCR2,19868223.96,19247488.26,20460591.08,22264683.12,20460246.61
Q9UBH6,XPR1,1122509.051,1265320.898,1409422.324,1404007.575,1300314.962
Q8IZH2,XRN1,12039942.98,13664770.01,14091644.75,13870466.48,13416706.05
Q9BY44,EIF2A,67696430.91,79997154.15,73138641.04,70876542.51,72927192.15
Q9BQA1,WDR77,15512386.3,19970333.75,20569781.15,17180371.48,18308218.17
Q86X55,CARM1,30315837.35,32595694.14,31681706.21,34741829.26,32333766.74
P28074,PSMB5,88521644.37,82703333.43,77891036.04,79635114.23,82187782.02
Q9ULH1,ASAP1,17805610.02,18707871.59,18595185.21,17078231.38,18046724.55
P09619,PDGFRB,22983791.66,18893932.21,17806558.68,12643180.03,18081865.65
Q9NZI8,IGF2BP1,72453895.82,64971878.24,70208095.31,72399233.89,70008275.82
P01889,HLA-B,86448548.18,178270139.3,233831579.7,186429715.8,171244995.8
Q96Q11,TRNT1,16827210.94,18872494.39,24024318.65,20417667.09,20035422.77
O60565,GREM1,6073680.31,3258454.026,1772174.145,1040408.401,3036179.221
Q04771,ACVR1,5333045.868,4047917.923,3351343.567,1004588.762,3434224.03
P98194,ATP2C1,17560798.91,20955738.25,19975806.51,18743516.2,19308964.97
Q8TAQ2,SMARCC2,43564867.56,55252149.03,57193074.07,62869558.75,54719912.35
O14641,DVL2,1814537.667,2572353.937,2436694.748,2324117.071,2286925.856
Q01844,EWSR1,125743979,122323799.4,120386405.7,123852106.9,123076572.7
Q2M2I8,AAK1,15929782.83,21847757.87,21976554.74,23722203.17,20869074.65
Q16576,RBBP7,36077048.66,41881602.76,38251556.45,30684537.26,36723686.28
Q9Y6M1,IGF2BP2,65701195.94,64940958,72649509.98,82970171.72,71565458.91
