gene_name	accession	species	localizations	complexes	GO_terms	onset_condition	terminus_condition	onset	terminus
PSMD2	Q4FZT9	Rattus norvegicus (Rat)	Unspecified			3		1	6
ACLY	P16638	Rattus norvegicus (Rat)	Cytoplasm			3		1	6
FDPS	P05369	Rattus norvegicus (Rat)	Cytoplasm			3		1	6
PSMD1	O88761	Rattus norvegicus (Rat)	Unspecified			3		1	6
VCP	P46462	Rattus norvegicus (Rat)	Cytoplasm; Endoplasmic Reticulum; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
FN1	P04937	Rattus norvegicus (Rat)	Unspecified			3		1	6
SEC31A	Q9Z2Q1	Rattus norvegicus (Rat)	Cytoplasm; Endoplasmic Reticulum		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
UBA1	Q5U300	Rattus norvegicus (Rat)	Cytoplasm; Mitochondrion; Nucleus			3		1	6
EIF3A	Q1JU68	Rattus norvegicus (Rat)	Cytoplasm			3		1	6
DNM1L	O35303	Rattus norvegicus (Rat)	Cytoplasm; Golgi; Mitochondrion; Peroxisome		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
RPL18	P12001	Rattus norvegicus (Rat)	Cytoplasm; Endoplasmic Reticulum			3		1	6
RNH1	P29315	Rattus norvegicus (Rat)	Cytoplasm			3		1	6
RPL7	P05426	Rattus norvegicus (Rat)	Unspecified			3		1	6
GDI1	P50398	Rattus norvegicus (Rat)	Cytoplasm; Golgi		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
RARS	P40329	Rattus norvegicus (Rat)	Cytoplasm			3		1	6
CADPS	Q62717	Rattus norvegicus (Rat)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
DNM1	P21575	Rattus norvegicus (Rat)	Cytoplasm; Golgi	Endocytic coat complex (7 subunits)	transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization; organelle localization	3		1	6
HSD17B4	P97852	Rattus norvegicus (Rat)	Peroxisome			3		1	6
CAPN2	Q07009	Rattus norvegicus (Rat)	Cell Membrane; Cytoplasm			3		1	6
MVP	Q62667	Rattus norvegicus (Rat)	Cytoplasm; Nucleus			3		1	6
Us9	Q6UK10	Suid alphaherpesvirus 1	Unspecified		transport; establishment of localization	3		1	6
gC	P06024	Suid herpesvirus 1 (strain Indiana-Funkhauser / Becker) (SuHV-1)	Unspecified			3		1	6
UL52	Q85228	Suid herpesvirus 1 (strain Kaplan) (SuHV-1)	Nucleus			3		1	6
Us2	P24382	Suid herpesvirus 1 (strain NIA-3) (SuHV-1)	Unspecified			3		1	6
gE	P08354	Suid herpesvirus 1 (strain Rice) (SuHV-1)	Cell Membrane; Golgi			3		1	6
