Bait Uniprot Accession #,Prey Uniprot Accession #,Edge weight_3,Prey abundance_3,Edge weight_8,Prey abundance_8,Edge weight_12,Prey abundance_12,Edge weight_18,Prey abundance_18,Edge weight_24,Prey abundance_24
Q6UK10,O54922,1,5,1,24,1,15,1,19,1,16
Q6UK10,P11505,1,8,1,43,1,47,1,52,1,48
Q6UK10,P10719,1,30,1,156,1,211,1,229,1,259
Q6UK10,P31399,1,3,1,16,1,14,1,14,1,19
Q6UK10,Q6ZPR5,1,5,1,26,1,32,1,25,1,18
Q6UK10,Q9WUD2,1,21,1,104,1,83,1,106,1,90
Q6UK10,P59764,1,7,1,33,1,36,1,20,1,28
Q6UK10,Q64542,1,7,1,33,1,38,1,42,1,35
Q6UK10,Q7TMY7,1,4,1,16,1,18,1,15,1,15
Q6UK10,P11507,1,24,1,107,1,92,1,91,1,86
Q6UK10,P15999,1,34,1,149,1,187,1,218,1,225
Q6UK10,Q80TL7,1,7,1,29,1,29,1,20,1,22
Q6UK10,P25286,1,21,1,86,1,70,1,102,1,78
Q6UK10,Q06647,1,6,1,25,1,31,1,31,1,40
Q6UK10,O55029,1,8,1,30,1,30,1,30,1,24
Q6UK10,O08700,1,5,1,17,1,17,1,13,1,19
Q6UK10,O88917,1,3,1,9,1,19,1,15,1,13
Q6UK10,Q6P2B1,1,6,1,22,1,19,1,21,1,12
Q6UK10,P07340,1,6,1,22,1,30,1,20,1,26
Q6UK10,Q63803,1,10,1,35,1,40,1,42,1,41
Q6UK10,P47861,1,4,1,12,1,14,1,14,1,16
